stops_name,location
Gg. Suka Damai,EJ
Gg. Suzuki,EJ
Gg. Swadaya 2 G,NJ
Gg. Tamansari Ragunan,SJ
Gg. Timbul Jaya Daan Mogot,WJ
Gg. Trijaya IV Tebet Timur,SJ
Gg. Umbang Lingkar Timur,EJ
Gg. VIII Muara Baru,NJ
Gg. Waru,EJ
Giant Pondok Gede 1,B
Giant Rawamangun,EJ
Global SeVilla Pulo Mas,EJ
Glodok,WJ
Gojek Kemang Timur,SJ
Gold Coast,NJ
Golden Fatmawati,SJ
Gongseng,EJ
Gracious,WJ
Graha Dirgantara,EJ
Graha Jasindo,CJ
Graha Kemenpora,CJ
Graha Kirana,NJ
Graha Mandiri,CJ
Graha Nusantara,SJ
Graha Sindu Bpk Penabur,CJ
Graha Werdatama Pondok Labu,SJ
Gramedia Harapan Indah,B
Grand Cempaka Hotel,CJ
Grand Centro Bintaro,SJ
Grand Dhika City,B
Grand Pasar Minggu,SJ
Grand Sahid,CJ
Grand Wijaya Dharmawangsa,SJ
Green Lake City,WJ
Green Permata,SJ
Green Terrace,EJ
Green Terrace 2,EJ
Greenlife Ciracas,EJ
Grha Intirub,EJ
Grha Muncul Mekar,WJ
Grii Kelapa Gading,NJ
Griya Ardhya Garini 2,EJ
Griya Galaxy 126,EJ
Griya Kukila Halim Perdanakusuma,EJ
Grogol 1,WJ
Grogol 2 Arah Selatan,WJ
Grogol 2 Arah Utara,WJ
Groserindo,B
Gudang Minimarket 1,NJ
Gunawarman 2,SJ
Gunung Agung,CJ
Gunung Sahari Mangga Dua,NJ
Gunung Sahari Mangga Dua Barat,NJ
Gunung Sahari Mangga Dua Timur,NJ
H Soleh I Sukabumi Selatan,WJ
H. Alwi,SJ
H. Moh Nail,D
H. Naman Noer Ali,EJ
H. Nawi Jln. Madrasah,SJ
H. Nawi Jln. Timbul,SJ
H. Samali,SJ
HKBP Rawamangun,EJ
Halim PK,EJ
Halimun,SJ
Halimun 1,SJ
Harapan Indah Boulevard,B
Haris Hotel Kelapa Gading,NJ
Harmoni Arah Selatan,CJ
Harmoni Arah Utara,CJ
Hero Basuki Rahmat,EJ
Honda Letjen Suprapto,CJ
